,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,TRX-USD,33.48937071429764,16
1,XTZ-USD,NEAR-USD,0.5944156493584881,7
2,ICP-USD,YFI-USD,0.0006218816145100539,23
3,ETC-USD,BCH-USD,0.07656987422143208,24
4,ZEC-USD,FIL-USD,6.964915524563214,15
5,ZEC-USD,EOS-USD,40.47180246159418,7
6,LINK-USD,XLM-USD,50.433503682646126,12
7,ATOM-USD,ENJ-USD,29.7707910885798,6
8,ATOM-USD,FIL-USD,2.0569546328497634,12
9,CELO-USD,ZRX-USD,2.3017124032213787,7
10,ENJ-USD,FIL-USD,0.06909030700293733,7
11,ENJ-USD,TRX-USD,3.7112863829014326,11
12,FIL-USD,TRX-USD,53.71435570494834,11
13,TRX-USD,EOS-USD,0.1081059966155559,14
14,YFI-USD,XLM-USD,44323.71271757766,11
15,COMP-USD,XLM-USD,439.7516160735029,21
